material_id,material_name,material_type,strength_score,weight_capacity_score,biodegradability_score,co2_emission_score,recyclability_percent,material_type_encoded,eco_score,performance_score,eco_performance_ratio,is_biodegradable,is_recyclable,dual_end_of_life,strength_tier,co2_category,sustainability_score,sustainability_rank,sustainability_tier
1,Virgin Kraft Paper,Paper/Cardboard,3.0,2,88.0,92.4,82,7,88.26,2.5,35.304,1,1,1,medium,ultra_low,83.93,7,Excellent
2,Recycled Kraft Paper,Paper/Cardboard,3.0,2,90.0,93.9,90,7,91.56,2.5,36.624,1,1,1,medium,ultra_low,86.85,3,Excellent
3,Corrugated Cardboard (Virgin),Paper/Cardboard,3.0,4,85.0,92.2,85,7,87.88,3.5,25.109,1,1,1,medium,ultra_low,81.58,10,Excellent
4,Corrugated Cardboard (Recycled),Paper/Cardboard,3.0,4,87.0,94.2,92,7,91.13,3.5,26.037,1,1,1,medium,ultra_low,84.36,6,Excellent
5,Flat Cardboard (Paperboard),Paper/Cardboard,3.0,3,84.0,87.2,78,7,83.78,3.0,27.927,1,1,1,medium,low_emission,78.94,17,Excellent
6,Molded Fiber Pulp,Paper/Cardboard,2.0,3,92.0,94.6,88,7,92.04,2.5,36.816,1,1,1,lightweight,ultra_low,87.18,2,Excellent
7,PLA Bioplastic (Virgin),Bioplastic,4.0,3,82.0,85.0,45,1,73.95,3.5,21.129,1,1,1,heavy_duty,low_emission,69.38,89,Poor
8,PLA Bioplastic (Recycled),Bioplastic,4.0,3,80.0,90.8,50,1,76.82,3.5,21.949,1,1,1,heavy_duty,ultra_low,71.86,75,Moderate
9,PHA Bioplastic,Bioplastic,3.0,3,95.0,82.5,35,1,75.0,3.0,25.0,1,1,1,medium,low_emission,70.62,84,Poor
10,Bamboo Fiber Packaging,Natural Fiber,5.0,4,93.0,93.3,75,6,88.62,4.5,19.693,1,1,1,heavy_duty,ultra_low,80.69,13,Excellent
11,Bagasse (Sugarcane Waste),Natural Fiber,2.0,2,97.0,96.2,60,6,87.43,2.0,43.715,1,1,1,lightweight,ultra_low,84.5,5,Excellent
12,Mycelium Packaging,Bio-based Composite,1.0,2,99.0,98.5,0,0,74.05,1.5,49.367,1,0,0,lightweight,ultra_low,64.26,97,Poor
13,Seaweed/Kelp Packaging,Bio-based Composite,1.0,1,98.0,99.0,0,0,73.9,1.0,73.9,1,0,0,lightweight,ultra_low,69.35,91,Poor
14,Expanded Polystyrene (EPS),Conventional Plastic,1.0,2,1.0,72.6,14,2,32.89,1.5,21.927,0,0,0,lightweight,moderate,28.82,110,Poor
15,HDPE Plastic,Conventional Plastic,3.0,5,2.0,85.1,31,2,42.49,4.0,10.622,0,1,0,medium,low_emission,34.04,108,Poor
16,PET Plastic,Conventional Plastic,4.0,4,3.0,71.7,58,2,44.23,4.0,11.058,0,1,0,heavy_duty,moderate,36.02,106,Poor
17,LDPE Plastic (Virgin),Conventional Plastic,2.0,4,2.0,85.1,28,2,41.74,3.0,13.913,0,1,0,lightweight,low_emission,34.11,107,Poor
18,LDPE Plastic (Recycled),Conventional Plastic,2.0,4,2.0,98.3,60,2,55.02,3.0,18.34,0,1,0,lightweight,ultra_low,45.78,101,Poor
19,Aluminum (Virgin),Metal,5.0,5,0.0,0.9,67,4,17.11,5.0,3.422,0,1,0,heavy_duty,high_emission,14.11,111,Poor
20,Aluminum (Recycled),Metal,5.0,5,0.0,92.3,95,4,60.67,5.0,12.134,0,1,0,heavy_duty,ultra_low,49.51,99,Poor
21,Glass (Virgin),Glass,4.0,3,0.0,92.8,74,3,55.62,3.5,15.891,0,1,0,heavy_duty,ultra_low,46.04,100,Poor
22,Glass (Recycled),Glass,4.0,3,0.0,95.7,90,3,60.78,3.5,17.366,0,1,0,heavy_duty,ultra_low,50.59,98,Poor
23,Steel Packaging,Metal,5.0,5,0.0,75.9,72,4,48.36,5.0,9.672,0,1,0,heavy_duty,low_emission,39.18,105,Poor
24,Starch-Based Packaging,Bioplastic,2.0,2,96.0,93.3,40,1,80.92,2.0,40.46,1,1,1,lightweight,ultra_low,78.47,21,Excellent
25,Cellulose-Based Film,Paper/Cardboard,4.0,2,91.0,94.0,70,7,86.95,3.0,28.983,1,1,1,heavy_duty,ultra_low,81.3,12,Excellent
26,Cork Packaging,Natural Fiber,1.0,2,95.0,95.4,65,6,87.66,1.5,58.44,1,1,1,lightweight,ultra_low,87.91,1,Excellent
27,Wood Wool / Shredded Wood,Natural Fiber,2.0,3,89.0,95.0,55,6,82.9,2.5,33.16,1,1,1,lightweight,ultra_low,78.83,18,Excellent
28,Jute Fabric Packaging,Natural Fiber,3.0,3,94.0,95.4,70,6,88.56,3.0,29.52,1,1,1,medium,ultra_low,82.6,8,Excellent
29,Hemp Fiber Packaging,Natural Fiber,4.0,4,93.0,96.5,72,6,89.15,4.0,22.288,1,1,1,heavy_duty,ultra_low,81.57,11,Excellent
30,Air Carbon Packaging (AirCarbon),Bioplastic,3.0,3,85.0,100.0,40,1,79.75,3.0,26.583,1,1,1,medium,ultra_low,74.78,52,Good
31,Recycled PET (rPET),Bioplastic,4.0,4,4.0,86.8,75,1,54.87,4.0,13.718,0,1,0,heavy_duty,low_emission,44.98,102,Poor
32,Compostable Mailer (PLA+PBAT),Bioplastic,3.0,2,88.0,88.8,30,1,73.82,2.5,29.528,1,1,1,medium,low_emission,70.67,83,Moderate
33,Banana Leaf Packaging,Natural Fiber,1.0,1,99.0,99.3,0,6,74.37,1.0,74.37,1,0,0,lightweight,ultra_low,69.79,87,Poor
34,Bamboo Pulp Paper,Paper/Cardboard,3.0,2,92.0,95.4,80,7,90.36,2.5,36.144,1,1,1,medium,ultra_low,85.6,4,Excellent
35,Beeswax Wrap,Natural Fiber,2.0,1,90.0,96.8,20,6,75.22,1.5,50.147,1,1,1,lightweight,ultra_low,75.85,38,Good
36,Vacuum-Formed rPET Tray,Conventional Plastic,4.0,4,4.0,86.7,70,2,53.58,4.0,13.395,0,1,0,heavy_duty,low_emission,43.83,103,Poor
37,Polypropylene (PP) Virgin,Conventional Plastic,3.0,5,2.0,83.3,32,2,42.02,4.0,10.505,0,1,0,medium,low_emission,33.68,109,Poor
38,Recycled PP,Conventional Plastic,3.0,4,2.0,92.7,55,2,51.53,3.5,14.723,0,1,0,medium,ultra_low,42.26,104,Poor
39,Expanded Corn Starch Foam,Bioplastic,1.0,2,97.0,94.0,30,1,79.05,1.5,52.7,1,1,1,lightweight,ultra_low,79.41,15,Excellent
40,Stone Paper (CaCO3),Mineral,3.0,2,60.0,93.5,65,5,74.65,2.5,29.86,1,1,1,medium,ultra_low,72.46,72,Moderate
41,Abaca (Manila Hemp) Sheets,Natural Fiber,4.0,4,92.0,90.0,55,6,81.95,4.0,20.488,1,1,1,heavy_duty,low_emission,75.39,41,Good
42,Kapok Fiber Cushions,Natural Fiber,2.0,3,95.0,93.0,30,6,77.95,2.5,31.18,1,1,1,lightweight,ultra_low,74.06,59,Moderate
43,Pineapple Leaf Fibers (Piña),Natural Fiber,3.0,3,90.0,90.0,45,6,78.75,3.0,26.25,1,1,1,medium,low_emission,74.0,61,Moderate
44,Coffee Husk Composites,Natural Fiber,3.0,3,85.0,91.0,50,6,78.65,3.0,26.217,1,1,1,medium,ultra_low,74.09,58,Moderate
45,Olive Stone Fillers,Natural Fiber,3.0,4,88.0,91.0,55,6,80.95,3.5,23.129,1,1,1,medium,ultra_low,75.24,42,Good
46,Date Palm Composites,Natural Fiber,4.0,4,90.0,89.0,60,6,82.1,4.0,20.525,1,1,1,heavy_duty,low_emission,75.64,39,Good
47,Avocado Seed Bioplastics,Bio-based Composite,2.0,2,92.0,91.0,25,0,74.85,2.0,37.425,1,1,1,lightweight,ultra_low,72.96,69,Moderate
